Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.02259605,-0.00011305,0.06140054,0,0,0,1.31688922,0.0133543,-3.36E-06,0.00182725,0.01023631,-1.16E-05,0.005471,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,,BR01_BODY_simplified-3,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_yaw_link_r,2.71E-06,-0.00024824,0.00522427,0,0,0,0.63756264,0.00048541,1.12E-06,1.74E-06,0.00161689,-7.02E-06,0.00152129,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_r.STL,,BR01_HIP_DUMMY_simplified-3,Joint1,Axis1,hip_yaw_r,revolute,0.029216,-0.075855745,-0.039765,0,0,-1.570796327,base_link,0,0,1,1,1,1,1,,,,,,,,
hip_pitch_link_r,0.00E+00,0.00000688,0.00E+00,0,0,0,0.0129553,9.10E-07,0.00E+00,0.00E+00,9.10E-07,0.00E+00,4.70E-07,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_r.STL,,BR01_HIP_SHAFT_DUMMY-4,Joint2,Axis2,hip_pitch_r,revolute,0,0,0,0,1.570796327,0,hip_yaw_link_r,0,0,1,1,1,1,1,,,,,,,,
hip_roll_link_r,1.39E-01,0.00037269,-6.49E-03,0,0,0,0.66351862,4.42E-04,7.29E-05,-2.91E-04,1.60E-02,1.11E-06,1.57E-02,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_r.STL,,BR01_THIGH_R_DUMMY_supper-simplified-1,Joint3,Axis3,hip_roll_r,revolute,0,0,0,-1.570796327,0,0,hip_pitch_link_r,0,0,1,0,0,0,0,,,,,,,,
knee_pitch_link_r,0.07293079,0.01746447,0.00216432,0,0,0,0.09566544,0.00010962,5.28E-05,1.57E-05,0.00101941,-6.68E-06,0.00108317,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_r.STL,,BR01_CALF_R_DUMMY-3,Joint4,Axis4,knee_pitch_r,revolute,0.204949408,0,0,1.570796327,0,0,hip_roll_link_r,0,0,1,0,0,0,0,,,,,,,,
ankle_pitch_link_r,0.0120775,0.0019746,0.00029511,0,0,0,0.02762647,2.04E-05,2.87E-06,-3.00E-08,6.20E-06,-2.40E-07,2.59E-05,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_r.STL,,BR01_FOOT_R_DUMMY-1,Joint5,Axis5,ankle_pitch_r,revolute,0.199880614,0,0,0,0,0,knee_pitch_link_r,0,0,1,0,0,0,0,,,,,,,,
hip_yaw_link_l,0,-0.00020849,0.00528032,0,0,0,0.63738621,0.0004852,0,-1.60E-07,0.0016181,-7.50E-06,0.00152105,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_l.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_l.STL,,BR01_HIP_DUMMY_simplified-4,Joint6,Axis6,hip_yaw_l,revolute,0.029216,0.075855745,-0.039765,0,0,-1.570796327,base_link,0,0,1,0,0,0,0,,,,,,,,
hip_pitch_link_l,0.00E+00,0.00000688,0.00E+00,0,0,0,0.0129553,9.10E-07,0.00E+00,0.00E+00,9.10E-07,0.00E+00,4.70E-07,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_l.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_l.STL,,BR01_HIP_SHAFT_DUMMY-3,Joint7,Axis7,hip_pitch_l,revolute,0,0,0,0,1.570796327,0,hip_yaw_link_l,0,0,1,0,0,0,0,,,,,,,,
hip_roll_link_l,1.39E-01,-0.00037269,-6.49E-03,0,0,0,0.66351862,4.42E-04,-7.29E-05,-2.91E-04,1.60E-02,-1.11E-06,1.57E-02,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_l.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_l.STL,,BR01_THIGH_L_DUMMY_supper-simplified-1,Joint8,Axis8,hip_roll_l,revolute,0,0,0,-1.570796327,0,0,hip_pitch_link_l,0,0,1,0,0,0,0,,,,,,,,
knee_pitch_link_l,0.07309957,0.01781024,-0.00219767,0,0,0,0.09526543,0.00010799,5.26E-05,-1.74E-05,0.00101705,6.07E-06,0.0010792,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_l.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_l.STL,,BR01_CALF_R_DUMMY-4,Joint9,Axis9,knee_pitch_l,revolute,0.204949408,0,0,1.570796327,0,0,hip_roll_link_l,0,0,1,0,0,0,0,,,,,,,,
